City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
labytnangi,66.6572,66.4183,21.0,90,64,7.25,RU,1683659006
saynshand,44.8824,110.1163,57.13,65,100,13.29,MN,1683659011
grytviken,-54.2811,-36.5092,33.31,92,100,4.32,GS,1683659012
paraiso,9.8383,-83.8656,85.06,51,42,3.6,CR,1683659012
yellowknife,62.456,-114.3525,57.72,58,75,5.75,CA,1683658898
bethel,41.3712,-73.414,69.89,30,0,10.36,US,1683659012
ushuaia,-54.8,-68.3,44.22,56,20,13.8,AR,1683658845
invercargill,-46.4,168.35,47.01,95,68,3.0,NZ,1683659013
malvern,34.3623,-92.813,86.63,64,50,4.41,US,1683659013
georgetown,5.4112,100.3354,84.13,83,20,3.44,MY,1683658937
kavaratti,10.5669,72.642,84.88,56,100,5.03,IN,1683659013
blackmans bay,-43.0167,147.3167,47.73,83,83,11.21,AU,1683659013
ghanzi,-21.5667,21.7833,67.21,36,0,7.72,BW,1683658722
howard springs,-12.497,131.047,73.31,61,100,9.35,AU,1683659013
port elizabeth,-33.918,25.5701,61.11,95,51,3.44,ZA,1683659013
port augusta,-32.5,137.7667,50.34,82,0,4.88,AU,1683658957
laguna,38.421,-121.4238,70.09,52,0,3.44,US,1683659019
egilsstadir,65.2653,-14.3948,46.31,93,100,8.05,IS,1683659014
sitka,57.0531,-135.33,51.03,62,100,2.46,US,1683659019
dunedin,-45.8742,170.5036,46.8,96,100,3.83,NZ,1683658858
dwarka,22.2394,68.9678,83.03,74,14,11.07,IN,1683659019
vorgashor,67.5833,63.95,17.82,99,100,2.35,RU,1683659019
wailua homesteads,22.0669,-159.378,73.83,84,66,7.0,US,1683659019
tsiombe,-25.3,45.4833,72.48,89,100,11.12,MG,1683659019
blythe,33.6103,-114.5964,87.03,10,0,9.57,US,1683658800
tarko-sale,64.9225,77.785,32.27,96,100,13.31,RU,1683659019
arawa,-6.2132,155.5367,77.59,91,100,3.02,PG,1683659020
lebu,-37.6167,-73.65,57.85,65,100,15.12,CL,1683659020
port lincoln,-34.7333,135.8667,58.39,75,96,8.81,AU,1683659020
sao jose da coroa grande,-8.8978,-35.1478,81.5,75,86,8.52,BR,1683659020
taro,-8.3862,115.28,73.4,96,100,0.67,ID,1683659020
fortuna,40.5982,-124.1573,61.93,69,20,12.66,US,1683659020
zemio,5.0314,25.1361,72.37,91,100,2.82,CF,1683659020
nouadhibou,20.931,-17.0347,64.38,94,75,16.11,MR,1683659020
arraial do cabo,-22.9661,-42.0278,80.56,83,40,10.36,BR,1683659021
adamstown,-25.066,-130.1015,71.44,52,60,12.73,PN,1683659021
ribeira grande,38.5167,-28.7,64.8,94,75,11.01,PT,1683659021
olonkinbyen,70.9221,-8.7187,36.12,100,100,8.77,SJ,1683659021
edinburgh of the seven seas,-37.0676,-12.3116,57.58,71,96,22.26,SH,1683659021
flying fish cove,-10.4217,105.6791,80.28,89,100,12.66,CX,1683659021
nagqu,31.5,92.0,29.41,85,100,5.99,CN,1683659021
port-aux-francais,-49.35,70.2167,42.53,96,100,23.02,TF,1683659021
greenwood,34.1668,-82.1165,89.62,53,20,10.36,US,1683658773
hadibu,12.65,54.0333,83.19,68,100,2.37,YE,1683659022
northam,51.0333,-4.2167,54.39,95,27,15.64,GB,1683659022
edd,13.9297,41.6925,85.1,72,8,6.93,ER,1683659022
bredasdorp,-34.5322,20.0403,57.47,92,74,2.8,ZA,1683659022
solnechnyy,50.7214,136.6319,33.48,80,100,8.41,RU,1683659022
saint-pierre,-21.3393,55.4781,76.68,69,0,5.75,RE,1683659022
progreso,21.2833,-89.6667,100.51,56,100,16.17,MX,1683659022
kodiak,57.79,-152.4072,42.31,93,100,11.5,US,1683659022
waitangi,-43.9535,-176.5597,60.82,95,100,15.01,NZ,1683659022
hammerfest,70.6634,23.6821,43.25,81,75,3.44,NO,1683659023
mukalla,14.5425,49.1242,83.59,60,10,4.5,YE,1683659023
nizhneudinsk,54.9076,99.0276,53.76,64,96,3.13,RU,1683659023
papatowai,-46.5619,169.4708,46.83,89,100,3.76,NZ,1683659023
merida,20.9667,-89.6167,100.42,27,75,9.22,MX,1683658829
zavodskoy,43.4597,132.2922,33.39,80,10,2.24,RU,1683659023
puerto natales,-51.7236,-72.4875,46.85,46,20,4.61,CL,1683659023
albany,42.6001,-73.9662,64.45,30,62,1.01,US,1683658734
aasiaat,68.7098,-52.8699,29.91,80,100,4.59,GL,1683659014
port mathurin,-19.6833,63.4167,78.37,69,22,17.58,MU,1683658870
kavieng,-2.5744,150.7967,81.63,80,100,3.67,PG,1683659024
agadez,19.75,10.25,90.12,8,18,6.6,NE,1683659024
linhares,-19.3911,-40.0722,82.53,59,52,2.51,BR,1683658842
west island,-12.1568,96.8225,81.27,82,21,19.39,CC,1683659024
bilibino,68.0546,166.4372,21.63,93,100,2.73,RU,1683659024
urengoy,65.9667,78.3667,24.4,97,100,9.95,RU,1683659024
petropavlovsk-kamchatsky,53.0452,158.6483,28.99,100,0,0.0,RU,1683659024
vila franca do campo,37.7167,-25.4333,66.61,86,100,4.25,PT,1683659024
